Date,Open,High,Low,Close,Volume,GBPUSD,Open_GBX,High_GBX,Low_GBX,Close_GBX
2025-07-28,713.6341311719812,718.0649556377284,707.9191597700191,709.3699951171875,1464800,1.344085931777954,53094.382903627855,53424.036265886185,52669.18900293711,52777.13115997236
2025-07-29,712.5068712611394,719.6432419995773,708.1642966898378,717.53564453125,2136000,1.336023211479187,53330.42608386143,53864.57629001966,53005.38872418159,53706.824729251945
2025-07-30,716.7122133940387,723.3192014159648,708.9092688794633,716.3298950195312,1816200,1.3353630304336548,53671.71301434703,54166.48393965717,53087.38168745374,53643.08271937897
2025-07-31,712.252018405182,719.5549575635301,706.2233541787895,709.3112182617188,2358100,1.3257676362991333,53723.744561560285,54274.59064939618,53269.01448207053,53501.92589115795
2025-08-01,696.4893242135873,700.420203375545,680.3541122915796,695.56787109375,2999100,1.3209865093231201,52724.93846818102,53022.50995238731,51503.48678732505,52655.18354537643
2025-08-04,701.0867588058161,712.4480164022169,701.0867588058161,711.7030639648438,1753700,1.3289920091629028,52753.2711989301,53608.14899488893,52753.2711989301,53552.0950508293
2025-08-05,713.634138034062,715.0065353087269,700.449539314402,706.6840209960938,1977300,1.3297518491744995,53666.71522036844,53769.922241702305,52675.20701319093,53144.05251136128
2025-08-06,710.2032221280867,713.9282236113356,707.7525553850636,710.4384765625,1477100,1.3299463987350464,53400.890652704744,53680.9772401636,53216.62256901701,53418.57966894156
2025-08-07,716.2024153176443,718.4766411262242,703.4491366232222,705.537109375,1400400,1.3357912302017212,53616.34356661323,53786.59665385925,52661.60764635299,52817.91745768949
2025-08-08,711.5363779871594,713.6341631007047,704.4686933173496,707.0369873046875,1275400,1.345152735710144,52896.326126974665,53052.27757084084,52370.90737844284,52561.836922661634
2025-08-11,707.9485466946776,709.5561982694417,701.6160029535309,705.0469360351562,1273500,1.3444474935531616,52657.210496460655,52776.787615126355,52186.19591452182,52441.38870546956
